"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","649","test_disk_info","tests","Sat Mar 21 20:32:53 UTC 2026","failed","Sat Mar 21 20:32:53 UTC 2026","","test_disk_info","",""
"Позитивное создание папки","649","test_create_folder_positive[<lambda>-201_1]","tests","Sat Mar 21 20:32:49 UTC 2026","failed","Sat Mar 21 20:32:50 UTC 2026","","test_create_folder","",""
"Негативные сценарии создания папки","618","test_create_folder_negative[/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-400]","tests","Sat Mar 21 20:32:50 UTC 2026","passed","Sat Mar 21 20:32:51 UTC 2026","","test_create_folder","",""
"","924","test_delete_resource","tests","Sat Mar 21 20:32:52 UTC 2026","failed","Sat Mar 21 20:32:53 UTC 2026","","test_delete_resource","",""
"Негативные сценарии создания папки","897","test_create_folder_negative[existing_folder-409]","tests","Sat Mar 21 20:32:51 UTC 2026","passed","Sat Mar 21 20:32:52 UTC 2026","","test_create_folder","",""
"Негативные сценарии создания папки","624","test_create_folder_negative[-400]","tests","Sat Mar 21 20:32:50 UTC 2026","passed","Sat Mar 21 20:32:50 UTC 2026","","test_create_folder","",""
"","934","test_upload_resource","tests","Sat Mar 21 20:32:54 UTC 2026","failed","Sat Mar 21 20:32:55 UTC 2026","","test_upload_resource","",""
"Позитивное создание папки","1445","test_create_folder_positive[<lambda>-201_0]","tests","Sat Mar 21 20:32:48 UTC 2026","failed","Sat Mar 21 20:32:49 UTC 2026","","test_create_folder","",""
"","878","test_get_resource","tests","Sat Mar 21 20:32:53 UTC 2026","failed","Sat Mar 21 20:32:54 UTC 2026","","test_get_resource","",""
