"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Disk","0","0","","0"
"0","","2","Resources","3","0","Создание папки","0"
"0","","2","Resources","0","0","","0"
"0","","1","Upload","0","0","","0"
