"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1276","Get disk info","Yandex Disk","Sun Mar 22 12:32:57 UTC 2026","passed","Sun Mar 22 12:32:58 UTC 2026","TestDisk","Disk","",""
"Позитивное создание папки","917","Create folder positive","Yandex Disk","Sun Mar 22 12:32:59 UTC 2026","passed","Sun Mar 22 12:33:00 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","833","Create folder positive","Yandex Disk","Sun Mar 22 12:32:58 UTC 2026","passed","Sun Mar 22 12:32:59 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1414","Create folder negative","Yandex Disk","Sun Mar 22 12:33:02 UTC 2026","passed","Sun Mar 22 12:33:03 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","689","Create folder negative","Yandex Disk","Sun Mar 22 12:33:00 UTC 2026","passed","Sun Mar 22 12:33:01 UTC 2026","TestResources","Resources","",""
"Удаление папки","2607","Delete folder","Yandex Disk","Sun Mar 22 12:33:06 UTC 2026","passed","Sun Mar 22 12:33:09 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1338","Upload resource from URL","Yandex Disk","Sun Mar 22 12:33:05 UTC 2026","passed","Sun Mar 22 12:33:06 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1667","Get folder metadata","Yandex Disk","Sun Mar 22 12:33:03 UTC 2026","passed","Sun Mar 22 12:33:05 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","856","Create folder negative","Yandex Disk","Sun Mar 22 12:33:01 UTC 2026","passed","Sun Mar 22 12:33:02 UTC 2026","TestResources","Resources","",""
