"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные сценарии создания папки","801","Create folder negative","Yandex Disk","Sat Mar 21 22:12:44 UTC 2026","passed","Sat Mar 21 22:12:45 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1698","Upload resource from URL","Yandex Disk","Sat Mar 21 22:12:49 UTC 2026","passed","Sat Mar 21 22:12:50 UTC 2026","TestResources","Resources","",""
"","741","test_disk_info","tests","Sat Mar 21 22:12:52 UTC 2026","passed","Sat Mar 21 22:12:53 UTC 2026","","test_disk_info","",""
"Получение информации о папке","1523","Get folder metadata","Yandex Disk","Sat Mar 21 22:12:47 UTC 2026","passed","Sat Mar 21 22:12:49 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1460","Create folder negative","Yandex Disk","Sat Mar 21 22:12:46 UTC 2026","passed","Sat Mar 21 22:12:47 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","881","Create folder negative","Yandex Disk","Sat Mar 21 22:12:45 UTC 2026","passed","Sat Mar 21 22:12:46 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","1669","Create folder positive","Yandex Disk","Sat Mar 21 22:12:41 UTC 2026","passed","Sat Mar 21 22:12:43 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","979","Create folder positive","Yandex Disk","Sat Mar 21 22:12:43 UTC 2026","passed","Sat Mar 21 22:12:44 UTC 2026","TestResources","Resources","",""
"Удаление папки","2032","Delete folder","Yandex Disk","Sat Mar 21 22:12:50 UTC 2026","passed","Sat Mar 21 22:12:52 UTC 2026","TestResources","Resources","",""
