"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивное создание папки","948","Create folder positive","Yandex Disk","Sun Mar 22 19:16:10 UTC 2026","passed","Sun Mar 22 19:16:10 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1173","Create folder negative","Yandex Disk","Sun Mar 22 19:16:12 UTC 2026","passed","Sun Mar 22 19:16:13 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","744","Create folder positive","Yandex Disk","Sun Mar 22 19:16:09 UTC 2026","passed","Sun Mar 22 19:16:10 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","654","Create folder negative","Yandex Disk","Sun Mar 22 19:16:11 UTC 2026","passed","Sun Mar 22 19:16:12 UTC 2026","TestResources","Resources","",""
"","1195","Get disk info","Yandex Disk","Sun Mar 22 19:16:08 UTC 2026","passed","Sun Mar 22 19:16:09 UTC 2026","TestDisk","Disk","",""
"Получение информации о папке","1917","Get folder metadata","Yandex Disk","Sun Mar 22 19:16:13 UTC 2026","passed","Sun Mar 22 19:16:15 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","617","Create folder negative","Yandex Disk","Sun Mar 22 19:16:10 UTC 2026","passed","Sun Mar 22 19:16:11 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1273","Upload resource from URL","Yandex Disk","Sun Mar 22 19:16:15 UTC 2026","passed","Sun Mar 22 19:16:16 UTC 2026","TestResources","Resources","",""
"Удаление папки","2730","Delete folder","Yandex Disk","Sun Mar 22 19:16:16 UTC 2026","passed","Sun Mar 22 19:16:19 UTC 2026","TestResources","Resources","",""
