"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Удаление папки","1827","Delete folder","Yandex Disk","Sun Mar 22 07:36:02 UTC 2026","passed","Sun Mar 22 07:36:04 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","2162","Upload resource from URL","Yandex Disk","Sun Mar 22 07:36:00 UTC 2026","passed","Sun Mar 22 07:36:02 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","1139","Create folder positive","Yandex Disk","Sun Mar 22 07:35:54 UTC 2026","passed","Sun Mar 22 07:35:55 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1192","Create folder negative","Yandex Disk","Sun Mar 22 07:35:56 UTC 2026","passed","Sun Mar 22 07:35:57 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1498","Get folder metadata","Yandex Disk","Sun Mar 22 07:35:59 UTC 2026","passed","Sun Mar 22 07:36:00 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","1104","Create folder positive","Yandex Disk","Sun Mar 22 07:35:53 UTC 2026","passed","Sun Mar 22 07:35:54 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1604","Create folder negative","Yandex Disk","Sun Mar 22 07:35:57 UTC 2026","passed","Sun Mar 22 07:35:59 UTC 2026","TestResources","Resources","",""
"","1442","Get disk info","Yandex Disk","Sun Mar 22 07:35:51 UTC 2026","passed","Sun Mar 22 07:35:53 UTC 2026","TestDisk","Disk","",""
"Негативные сценарии создания папки","849","Create folder negative","Yandex Disk","Sun Mar 22 07:35:55 UTC 2026","passed","Sun Mar 22 07:35:56 UTC 2026","TestResources","Resources","",""
