"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1601","test_delete_resource","tests","Sat Mar 21 20:43:49 UTC 2026","passed","Sat Mar 21 20:43:50 UTC 2026","","test_delete_resource","",""
"","585","test_disk_info","tests","Sat Mar 21 20:43:50 UTC 2026","passed","Sat Mar 21 20:43:51 UTC 2026","","test_disk_info","",""
"Позитивное создание папки","867","test_create_folder_positive[<lambda>-201_1]","tests","Sat Mar 21 20:43:45 UTC 2026","passed","Sat Mar 21 20:43:46 UTC 2026","","test_create_folder","",""
"Позитивное создание папки","1485","test_create_folder_positive[<lambda>-201_0]","tests","Sat Mar 21 20:43:44 UTC 2026","passed","Sat Mar 21 20:43:45 UTC 2026","","test_create_folder","",""
"Негативные сценарии создания папки","800","test_create_folder_negative[/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-400]","tests","Sat Mar 21 20:43:47 UTC 2026","passed","Sat Mar 21 20:43:48 UTC 2026","","test_create_folder","",""
"Негативные сценарии создания папки","1185","test_create_folder_negative[existing_folder-409]","tests","Sat Mar 21 20:43:48 UTC 2026","passed","Sat Mar 21 20:43:49 UTC 2026","","test_create_folder","",""
"","1416","test_upload_resource","tests","Sat Mar 21 20:43:52 UTC 2026","passed","Sat Mar 21 20:43:54 UTC 2026","","test_upload_resource","",""
"Негативные сценарии создания папки","671","test_create_folder_negative[-400]","tests","Sat Mar 21 20:43:46 UTC 2026","passed","Sat Mar 21 20:43:47 UTC 2026","","test_create_folder","",""
"","1195","test_get_resource","tests","Sat Mar 21 20:43:51 UTC 2026","passed","Sat Mar 21 20:43:52 UTC 2026","","test_get_resource","",""
