"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Resources","2","0","","0"
"0","","0","Disk","1","0","","0"
"0","","0","Resources","5","0","Создание папки","0"
"0","","0","Upload","1","0","","0"
