"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные сценарии создания папки","1185","test_create_folder_negative[/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-400]","tests","Sat Mar 21 21:06:59 UTC 2026","passed","Sat Mar 21 21:07:01 UTC 2026","","test_create_folder","",""
"","1264","test_upload_resource","tests","Sat Mar 21 21:07:07 UTC 2026","passed","Sat Mar 21 21:07:08 UTC 2026","","test_upload_resource","",""
"","702","test_disk_info","tests","Sat Mar 21 21:07:05 UTC 2026","passed","Sat Mar 21 21:07:05 UTC 2026","","test_disk_info","",""
"","1579","test_get_resource","tests","Sat Mar 21 21:07:05 UTC 2026","passed","Sat Mar 21 21:07:07 UTC 2026","","test_get_resource","",""
"Негативные сценарии создания папки","1542","test_create_folder_negative[existing_folder-409]","tests","Sat Mar 21 21:07:01 UTC 2026","passed","Sat Mar 21 21:07:02 UTC 2026","","test_create_folder","",""
"","2457","test_delete_resource","tests","Sat Mar 21 21:07:02 UTC 2026","passed","Sat Mar 21 21:07:05 UTC 2026","","test_delete_resource","",""
"Позитивное создание папки","1662","test_create_folder_positive[<lambda>-201_0]","tests","Sat Mar 21 21:06:56 UTC 2026","passed","Sat Mar 21 21:06:58 UTC 2026","","test_create_folder","",""
"Позитивное создание папки","967","test_create_folder_positive[<lambda>-201_1]","tests","Sat Mar 21 21:06:58 UTC 2026","passed","Sat Mar 21 21:06:59 UTC 2026","","test_create_folder","",""
"Негативные сценарии создания папки","753","test_create_folder_negative[-400]","tests","Sat Mar 21 21:06:59 UTC 2026","passed","Sat Mar 21 21:06:59 UTC 2026","","test_create_folder","",""
