"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные сценарии создания папки","2145","Create folder negative","Yandex Disk","Sun Mar 22 19:05:54 UTC 2026","passed","Sun Mar 22 19:05:56 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","952","Create folder positive","Yandex Disk","Sun Mar 22 19:05:53 UTC 2026","passed","Sun Mar 22 19:05:54 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","760","Create folder positive","Yandex Disk","Sun Mar 22 19:05:52 UTC 2026","passed","Sun Mar 22 19:05:53 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1360","Get folder metadata","Yandex Disk","Sun Mar 22 19:05:58 UTC 2026","passed","Sun Mar 22 19:05:59 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1430","Upload resource from URL","Yandex Disk","Sun Mar 22 19:05:59 UTC 2026","passed","Sun Mar 22 19:06:00 UTC 2026","TestResources","Resources","",""
"","1242","Get disk info","Yandex Disk","Sun Mar 22 19:05:51 UTC 2026","passed","Sun Mar 22 19:05:52 UTC 2026","TestDisk","Disk","",""
"Негативные сценарии создания папки","570","Create folder negative","Yandex Disk","Sun Mar 22 19:05:54 UTC 2026","passed","Sun Mar 22 19:05:54 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1284","Create folder negative","Yandex Disk","Sun Mar 22 19:05:56 UTC 2026","passed","Sun Mar 22 19:05:58 UTC 2026","TestResources","Resources","",""
"Удаление папки","2375","Delete folder","Yandex Disk","Sun Mar 22 19:06:00 UTC 2026","passed","Sun Mar 22 19:06:03 UTC 2026","TestResources","Resources","",""
