"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные сценарии создания папки","844","Create folder negative","Yandex Disk","Sun Mar 22 19:10:21 UTC 2026","passed","Sun Mar 22 19:10:21 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","1087","Create folder positive","Yandex Disk","Sun Mar 22 19:10:19 UTC 2026","passed","Sun Mar 22 19:10:20 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1810","Get folder metadata","Yandex Disk","Sun Mar 22 19:10:23 UTC 2026","passed","Sun Mar 22 19:10:25 UTC 2026","TestResources","Resources","",""
"Удаление папки","2196","Delete folder","Yandex Disk","Sun Mar 22 19:10:27 UTC 2026","passed","Sun Mar 22 19:10:29 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1518","Upload resource from URL","Yandex Disk","Sun Mar 22 19:10:25 UTC 2026","passed","Sun Mar 22 19:10:27 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","805","Create folder negative","Yandex Disk","Sun Mar 22 19:10:20 UTC 2026","passed","Sun Mar 22 19:10:21 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","862","Create folder positive","Yandex Disk","Sun Mar 22 19:10:18 UTC 2026","passed","Sun Mar 22 19:10:19 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1718","Create folder negative","Yandex Disk","Sun Mar 22 19:10:21 UTC 2026","passed","Sun Mar 22 19:10:23 UTC 2026","TestResources","Resources","",""
"","1513","Get disk info","Yandex Disk","Sun Mar 22 19:10:16 UTC 2026","passed","Sun Mar 22 19:10:18 UTC 2026","TestDisk","Disk","",""
