"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные сценарии создания папки","873","test_create_folder_negative[/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-400]","tests","Sat Mar 21 20:22:49 UTC 2026","passed","Sat Mar 21 20:22:50 UTC 2026","","test_create_folder","",""
"Позитивное создание папки","2353","test_create_folder_positive[<lambda>-201_0]","tests","Sat Mar 21 20:22:44 UTC 2026","passed","Sat Mar 21 20:22:47 UTC 2026","","test_create_folder","",""
"","1337","test_upload_resource","tests","Sat Mar 21 20:22:56 UTC 2026","passed","Sat Mar 21 20:22:57 UTC 2026","","test_upload_resource","",""
"","2551","test_delete_resource","tests","Sat Mar 21 20:22:51 UTC 2026","passed","Sat Mar 21 20:22:54 UTC 2026","","test_delete_resource","",""
"Негативные сценарии создания папки","859","test_create_folder_negative[-400]","tests","Sat Mar 21 20:22:48 UTC 2026","passed","Sat Mar 21 20:22:49 UTC 2026","","test_create_folder","",""
"","714","test_disk_info","tests","Sat Mar 21 20:22:54 UTC 2026","passed","Sat Mar 21 20:22:54 UTC 2026","","test_disk_info","",""
"Негативные сценарии создания папки","1544","test_create_folder_negative[existing_folder-409]","tests","Sat Mar 21 20:22:50 UTC 2026","passed","Sat Mar 21 20:22:51 UTC 2026","","test_create_folder","",""
"","1550","test_get_resource","tests","Sat Mar 21 20:22:54 UTC 2026","passed","Sat Mar 21 20:22:56 UTC 2026","","test_get_resource","",""
"Позитивное создание папки","1100","test_create_folder_positive[<lambda>-201_1]","tests","Sat Mar 21 20:22:47 UTC 2026","passed","Sat Mar 21 20:22:48 UTC 2026","","test_create_folder","",""
