"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивное создание папки","1752","Create folder positive","Yandex Disk","Sun Mar 22 12:43:55 UTC 2026","passed","Sun Mar 22 12:43:57 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1328","Upload resource from URL","Yandex Disk","Sun Mar 22 12:44:02 UTC 2026","passed","Sun Mar 22 12:44:03 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1645","Get folder metadata","Yandex Disk","Sun Mar 22 12:44:00 UTC 2026","passed","Sun Mar 22 12:44:02 UTC 2026","TestResources","Resources","",""
"Удаление папки","2245","Delete folder","Yandex Disk","Sun Mar 22 12:44:03 UTC 2026","passed","Sun Mar 22 12:44:05 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","702","Create folder negative","Yandex Disk","Sun Mar 22 12:43:58 UTC 2026","passed","Sun Mar 22 12:43:59 UTC 2026","TestResources","Resources","",""
"","1356","Get disk info","Yandex Disk","Sun Mar 22 12:43:53 UTC 2026","passed","Sun Mar 22 12:43:55 UTC 2026","TestDisk","Disk","",""
"Позитивное создание папки","829","Create folder positive","Yandex Disk","Sun Mar 22 12:43:55 UTC 2026","passed","Sun Mar 22 12:43:55 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","979","Create folder negative","Yandex Disk","Sun Mar 22 12:43:57 UTC 2026","passed","Sun Mar 22 12:43:58 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1353","Create folder negative","Yandex Disk","Sun Mar 22 12:43:59 UTC 2026","passed","Sun Mar 22 12:44:00 UTC 2026","TestResources","Resources","",""
