"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Удаление папки","1669","Delete folder","Yandex Disk","Sun Mar 22 17:54:24 UTC 2026","passed","Sun Mar 22 17:54:26 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","693","Create folder negative","Yandex Disk","Sun Mar 22 17:54:19 UTC 2026","passed","Sun Mar 22 17:54:20 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","920","Create folder positive","Yandex Disk","Sun Mar 22 17:54:17 UTC 2026","passed","Sun Mar 22 17:54:18 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","628","Create folder negative","Yandex Disk","Sun Mar 22 17:54:19 UTC 2026","passed","Sun Mar 22 17:54:19 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1499","Upload resource from URL","Yandex Disk","Sun Mar 22 17:54:23 UTC 2026","passed","Sun Mar 22 17:54:24 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1441","Get folder metadata","Yandex Disk","Sun Mar 22 17:54:21 UTC 2026","passed","Sun Mar 22 17:54:23 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1227","Create folder negative","Yandex Disk","Sun Mar 22 17:54:20 UTC 2026","passed","Sun Mar 22 17:54:21 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","1050","Create folder positive","Yandex Disk","Sun Mar 22 17:54:18 UTC 2026","passed","Sun Mar 22 17:54:19 UTC 2026","TestResources","Resources","",""
"","1200","Get disk info","Yandex Disk","Sun Mar 22 17:54:15 UTC 2026","passed","Sun Mar 22 17:54:17 UTC 2026","TestDisk","Disk","",""
