"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивное создание папки","1848","Create folder positive","Yandex Disk","Sun Mar 22 07:12:06 UTC 2026","passed","Sun Mar 22 07:12:08 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","780","Create folder negative","Yandex Disk","Sun Mar 22 07:12:10 UTC 2026","passed","Sun Mar 22 07:12:11 UTC 2026","TestResources","Resources","",""
"","741","test_disk_info","tests","Sun Mar 22 07:12:18 UTC 2026","passed","Sun Mar 22 07:12:19 UTC 2026","","test_disk_info","",""
"Негативные сценарии создания папки","1398","Create folder negative","Yandex Disk","Sun Mar 22 07:12:11 UTC 2026","passed","Sun Mar 22 07:12:12 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1827","Upload resource from URL","Yandex Disk","Sun Mar 22 07:12:14 UTC 2026","passed","Sun Mar 22 07:12:16 UTC 2026","TestResources","Resources","",""
"Удаление папки","2073","Delete folder","Yandex Disk","Sun Mar 22 07:12:16 UTC 2026","passed","Sun Mar 22 07:12:18 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","1080","Create folder positive","Yandex Disk","Sun Mar 22 07:12:08 UTC 2026","passed","Sun Mar 22 07:12:09 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","778","Create folder negative","Yandex Disk","Sun Mar 22 07:12:09 UTC 2026","passed","Sun Mar 22 07:12:10 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1661","Get folder metadata","Yandex Disk","Sun Mar 22 07:12:12 UTC 2026","passed","Sun Mar 22 07:12:14 UTC 2026","TestResources","Resources","",""
