"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1902","test_get_resource","tests","Sat Mar 21 20:50:18 UTC 2026","passed","Sat Mar 21 20:50:20 UTC 2026","","test_get_resource","",""
"Негативные сценарии создания папки","1529","test_create_folder_negative[existing_folder-409]","tests","Sat Mar 21 20:50:12 UTC 2026","passed","Sat Mar 21 20:50:14 UTC 2026","","test_create_folder","",""
"Позитивное создание папки","1148","test_create_folder_positive[<lambda>-201_1]","tests","Sat Mar 21 20:50:10 UTC 2026","passed","Sat Mar 21 20:50:11 UTC 2026","","test_create_folder","",""
"","2923","test_delete_resource","tests","Sat Mar 21 20:50:14 UTC 2026","passed","Sat Mar 21 20:50:17 UTC 2026","","test_delete_resource","",""
"Позитивное создание папки","1562","test_create_folder_positive[<lambda>-201_0]","tests","Sat Mar 21 20:50:08 UTC 2026","passed","Sat Mar 21 20:50:10 UTC 2026","","test_create_folder","",""
"Негативные сценарии создания папки","918","test_create_folder_negative[/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-400]","tests","Sat Mar 21 20:50:12 UTC 2026","passed","Sat Mar 21 20:50:12 UTC 2026","","test_create_folder","",""
"","906","test_disk_info","tests","Sat Mar 21 20:50:17 UTC 2026","passed","Sat Mar 21 20:50:18 UTC 2026","","test_disk_info","",""
"Негативные сценарии создания папки","781","test_create_folder_negative[-400]","tests","Sat Mar 21 20:50:11 UTC 2026","passed","Sat Mar 21 20:50:12 UTC 2026","","test_create_folder","",""
"","1791","test_upload_resource","tests","Sat Mar 21 20:50:20 UTC 2026","passed","Sat Mar 21 20:50:22 UTC 2026","","test_upload_resource","",""
