"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивное создание папки","1047","Create folder positive","Yandex Disk","Sun Mar 22 18:38:13 UTC 2026","passed","Sun Mar 22 18:38:14 UTC 2026","TestResources","Resources","",""
"Удаление папки","2251","Delete folder","Yandex Disk","Sun Mar 22 18:38:20 UTC 2026","passed","Sun Mar 22 18:38:22 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","715","Create folder negative","Yandex Disk","Sun Mar 22 18:38:14 UTC 2026","passed","Sun Mar 22 18:38:15 UTC 2026","TestResources","Resources","",""
"Позитивное создание папки","768","Create folder positive","Yandex Disk","Sun Mar 22 18:38:12 UTC 2026","passed","Sun Mar 22 18:38:13 UTC 2026","TestResources","Resources","",""
"Получение информации о папке","1326","Get folder metadata","Yandex Disk","Sun Mar 22 18:38:17 UTC 2026","passed","Sun Mar 22 18:38:18 UTC 2026","TestResources","Resources","",""
"Загрузка файла по URL","1326","Upload resource from URL","Yandex Disk","Sun Mar 22 18:38:18 UTC 2026","passed","Sun Mar 22 18:38:20 UTC 2026","TestResources","Resources","",""
"","1108","Get disk info","Yandex Disk","Sun Mar 22 18:38:11 UTC 2026","passed","Sun Mar 22 18:38:12 UTC 2026","TestDisk","Disk","",""
"Негативные сценарии создания папки","670","Create folder negative","Yandex Disk","Sun Mar 22 18:38:15 UTC 2026","passed","Sun Mar 22 18:38:16 UTC 2026","TestResources","Resources","",""
"Негативные сценарии создания папки","1226","Create folder negative","Yandex Disk","Sun Mar 22 18:38:16 UTC 2026","passed","Sun Mar 22 18:38:17 UTC 2026","TestResources","Resources","",""
